  [k=1] est_atc-20130616.npz
  [k=1] est_atc-20130623.npz
  [k=1] est_atc-20130630.npz
  [k=1] est_atc-20130707.npz
  [k=1] est_atc-20130714.npz
  [k=1] est_atc-20130721.npz
  [k=1] est_atc-20130728.npz

[k=1] 7 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1551   0.0370   1.691e+00   0.0479   0.309   93.53%
blind                   0.1824   0.0461   2.857e-02   0.0544   0.298   92.67%
observed                0.1167   0.0267   3.575e+00   0.0405   0.347   94.51%
defined                 0.2685   0.0908   1.289e+01   0.0720   0.268   83.08%
defined_blind           0.3594   0.1464   1.021e+01   0.1008   0.281   76.36%
defined_observed        0.1834   0.0534   1.470e+01   0.0526   0.287   87.60%
walkable                0.1859   0.0514   4.021e+00   0.0635   0.342   91.62%
walkable_blind          0.2412   0.0775   2.658e+00   0.0857   0.355   88.79%
channel_density         0.1295   0.0294   1.331e+00   0.0286   0.221   91.80%
channel_vx              0.2531   0.0769   6.488e-01   0.0919   0.363   91.70%
channel_vy              0.1045   0.0311  -1.370e+00   0.0560   0.536   94.81%
channel_var             0.0670   0.0106   6.155e+00   0.0151   0.226   95.80%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/eval/uncertainty_lowrank_a_r32_alpha1_valid7.json

